title,authors,categories,published_year
The White Castle,Orhan Pamuk,Civil law,1990.0
Even Cowgirls Get the Blues ; My Own Private Idaho,Gus Van Sant,Hitchhiking,1993.0
Lawrence Durrell,Ian S. MacNiven,Biography & Autobiography,1998.0
The Last Temptation,Nikos Kazantzakis,Fiction,2000.0
Tales from Ovid,Ovid;Ted Hughes,Latin poetry,1997.0
View with a Grain of Sand,Wisława Szymborska,Polish poetry,1996.0
The New Life,Orhan Pamuk,Bus travel,1998.0
Tom Stoppard: Plays 5,Tom Stoppard,Drama,1999.0
Garden State,Rick Moody,Teenagers,2002.0
Beowulf,Seamus Heaney,Beowulf,1999.0
Letters Home,Sylvia Plath,"Authors, American",1999.0
The Poisonwood Bible,Barbara Kingsolver,Americans,2000.0
"Girl, Interrupted",James Mangold;Lisa Loomer;Anna Hamilton Phelan,Performing Arts,2000.0
Gilliam on Gilliam,Terry Gilliam;Ian Christie,Performing Arts,1999.0
The Music of Chance,Paul Auster,Gambling,2000.0
My Century,Günter Grass,"History, Modern",2000.0
Taxi Driver,Paul Schrader,Performing Arts,2000.0
"The Journals of Sylvia Plath, 1950-1962",Sylvia Plath,"Poets, American",2001.0
Laughable Loves,Milan Kundera,Czech Republic,1999.0
Herzog on Herzog,Paul Cronin,Performing Arts,2003.0
Collected Children's Stories,Sylvia Plath,"Children's poetry, American",2001.0
The Wars,Timothy Findley,Fiction,2001.0
Famous Last Words,Timothy Findley,Prisoners of war,2001.0
Finders Keepers,Seamus Heaney,Englisch - Geschichte - Lyrik - Aufsatzsammlung,2003.0
Fat Pig,Neil LaBute,Drama,2004.0
A Beautiful Mind,Sylvia Nasar,Mathematicians,2001.0
The Greek Islands,Lawrence Durrell,Biography & Autobiography,2002.0
Vernon God Little,D. B. C. Pierre,Black humor (Literature),2004.0
Finnegans Wake,James Joyce,Dreams,1975.0
Tales From Firozsha Baag (Ji),Rohinton Mistry,Apartment houses,2002.0
The Kid Stays in the Picture,Robert Evans,Motion picture actors and actresses,2004.0
The Moth Diaries,Rachel Klein,Boarding schools,2005.0
The Unbearable Lightness of Being,Milan Kundera,Adultery,2004.0
A Pale View of Hills,Kazuo Ishiguro,Fiction,2005.0
The Unconsoled,Kazuo Ishiguro,Fiction,2005.0
The Avignon Quintet,Lawrence Durrell,"Short stories, English",2004.0
City of Glass,Paul Auster;Paul Karasik;David Mazzucchelli,City and town life,2005.0
Breakfast of Champions,,Science fiction,1984.0
Medea,Robinson Jeffers,Greek drama (Tragedy),1976.0
Eric,Terry Pratchett,Fantasy fiction,1990.0
Soul Music,Terry Pratchett,Discworld (Imaginary place),1999.0
The Last Hero,Terry Pratchett,Discworld (Imaginary place),2001.0
The Man in the High Castle,Philip K. Dick,Alternative histories (Fiction),2001.0
Worlds,Joe Haldeman,Fiction,2002.0
Dark Lord of Derkholm,Diana Wynne Jones,Fantasy fiction,2003.0
Replay,Ken Grimwood,Fantasy,2005.0
Grendel,John Gardner,Beowulf,2004.0
The Hyperion Omnibus,Dan Simmons,Fiction,2004.0
A Scanner Darkly,Philip K. Dick,Detective and mystery stories,2006.0
Dark Visions,Stephen King;George R. R. Martin;Dan Simmons,"Horror tales, American",2000.0
A Sudden Wild Magic,Diana Wynne Jones,,1997.0
The Body,Stephen King;Robin Waterfield,Friendship in adolescence,1999.0
The Firm,John Grisham,Fiction,1999.0
Of Mice and Men,John Steinbeck;Susan Shillinglaw,Cowboys,2000.0
The Caves of Steel,Isaac Asimov,Fiction,1993.0
Banco,Henri Charrière,Biography & Autobiography,1973.0
A Darkness at Sethanon,Raymond E. Feist,English fiction,1987.0
Faerie Tale,Raymond E. Feist,Fairy tales,1989.0
2061,Arthur C. Clarke,Computers,1997.0
Mistress of the Empire,Raymond E. Feist;Janny Wurts,English fiction,1997.0
Servant of the Empire,Raymond E. Feist;Janny Wurts,Fantasy,1990.0
The Master of Whitestorm,Janny Wurts,Fantasy fiction,1992.0
The Curse of the Mistwraith,Janny Wurts,Fiction,2004.0
Magician,Raymond E. Feist,Adventure stories,1993.0
The witches,Roald Dahl,Juvenile Nonfiction,1997.0
Common Ground,Molly Bang,Juvenile Nonfiction,1997.0
Expository Writing,Tara McCarthy,Juvenile Nonfiction,1998.0
Scary stories 3,Alvin Schwartz,Folklore,1991.0
Descriptive Writing,Tara McCarthy,Language Arts & Disciplines,1998.0
Persuasive Writing,Tara McCarthy,Juvenile Nonfiction,1998.0
P.S. Longer Letter Later,Paula Danziger,Friendship,1999.0
How Much is that Guinea Pig in the Window?,Joanne Rocklin,Contests,1995.0
"The lion, the witch and the wardrobe",Clive Staples Lewis,Fantasy,1995.0
Something Fishy at Macdonald Hall,Gordon Korman,Juvenile Fiction,2000.0
Run,William Sleator,Detective and mystery stories,1973.0
Blind Flight,Hilary Milton,Blind,1982.0
Trapped!,Arthur Roth,Survival,1983.0
The Trolley Car Family,Eleanor Clymer,Family life,1987.0
Mrs. Piggle-Wiggle's farm,Betty MacDonald,Behavior,1987.0
Radio Fifth Grade,Gordon Korman,Juvenile Fiction,1991.0
Avalanche,Arthur Roth,Adult education,1989.0
Drina Dances Again,Jean Estoril,Acting,1989.0
Blubberina,Jahnna N. Malcolm,Ballet,1989.0
The Littles and the Lost Children,John Peterson,Juvenile Fiction,1991.0
Vampires Don't Wear Polka Dots,Debbie Dadey;Marcia Thornton Jones,Juvenile Fiction,1990.0
Werewolves Don't Go to Summer Camp,Debbie Dadey;Marcia Thornton Jones,Juvenile Fiction,1991.0
Koko's Kitten,Francine Patterson;Ronald H. Cohn,Juvenile Nonfiction,1987.0
The Stranger,Caroline B. Cooney,Horror stories.,1993.0
The mystery of the missing cat,Gertrude Chandler Warner,Cats,1994.0
These Happy Golden Years,Laura Ingalls Wilder,Adventure stories,1953.0
On the Banks of Plum Creek,Laura Ingalls Wilder,Family,1965.0
Babysitters Club,Ann M. Martin,Juvenile Fiction,1995.0
Mary Anne and the Little Princess,Ann M. Martin,Juvenile Fiction,1996.0
"Good-bye Stacey, Good-bye",Ann M. Martin,English language,1988.0
Angels Don't Know Karate,Debbie Dadey;Marcia Thornton Jones,Juvenile Fiction,1996.0
The Littles and Their Amazing New Friend,John Peterson,Juvenile Fiction,1999.0
The Meanest Thing to Say,Bill Cosby;Varnette P. Honeywood,Juvenile Fiction,1997.0
The BFG,Roald Dahl,Dreams,1982.0
Wanted!,Caroline B. Cooney,Juvenile Fiction,1997.0
The Illustrated A Brief History of Time,Stephen W. Hawking,Cosmology,1996.0
A Brief History of Time,Stephen Hawking,Cosmology,1998.0
Firedrake,Richard A. Knaak,Fiction,2000.0
Vesco from Wall Street to Castro's Cuba,Arthur Herzog,BIOGRAPHY & AUTOBIOGRAPHY,2003.0
The Changeling,Zilpha Keatley Snyder,Juvenile Fiction,2004.0
High performance MySQL,Jeremy D. Zawodny;Derek J. Balling,Computers,2004.0
Hackers & Painters,Paul Graham,Computers,2004.0
BSD Hacks,Dru Lavigne,Computers,2004.0
IMovie 4 & IDVD,David Pogue,Computers,2004.0
Ruby Cookbook,Lucas Carlson;Leonard Richardson,Computers,2006.0
MySQL Cookbook,Paul DuBois,Computers,2007.0
CSS Cookbook,Christopher Schmitt,Computers,2006.0
The New Hite Report,Shere Hite,Sexual behavior surveys,2000.0
One Hundred Years of Solitude,Gabriel Garcia Marquez;Gregory Rabassa,Fiction,2006.0
The Barefoot Contessa Cookbook,Ina Garten,Cooking,1999.0
Execution,Larry Bossidy;Ram Charan;Charles Burck,Business & Economics,2002.0
Full House,Stephen Jay Gould,Science,1997.0
Awakening Intuition,Mona Lisa Schulz,Health & Fitness,1999.0
Dispatches from the Tenth Circle,Robert Siegel,Humor,2001.0
Theater Shoes,Noel Streatfeild,Juvenile Fiction,1994.0
The Princess Diaries,Meg Cabot,Juvenile Fiction,2001.0
Laura Ingalls Wilder Country,"William Anderson;William T Anderson, Ed.",History,1990.0
East of Eden,John Steinbeck,Fiction,1992.0
The Two Towers,John Ronald Reuel Tolkien,Fiction,1994.0
Farmer Giles of Ham,John Ronald Reuel Tolkien,Fiction,1999.0
The ring sets out,John Ronald Reuel Tolkien,"Baggins, Frodo (Fictitious character)",1994.0
Unweaving the Rainbow,Richard Dawkins,Science,2000.0
Baumgartner's Bombay,Anita Desai,Fiction,2000.0
The 42nd Parallel,John Dos Passos,Fiction,2000.0
Nineteen Nineteen,John Dos Passos,Fiction,2000.0
The Big Money,John Dos Passos,Fiction,2000.0
The Letters of J.R.R. Tolkien,John Ronald Reuel Tolkien,Biography & Autobiography,2000.0
J.R.R. Tolkien,Humphrey Carpenter,Biography & Autobiography,2000.0
The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes,Philosophy,2000.0
Clear Light of Day,Anita Desai,Fiction,2000.0
The History of the Lord of the Rings,John Ronald Reuel Tolkien;Christopher Tolkien,Fiction,2000.0
The Return of the Shadow,John Ronald Reuel Tolkien;Christopher Tolkien,Fiction,2000.0
J.R.R. Tolkien,Wayne G. Hammond;Christina Scull,Art,2000.0
The Heart is a Lonely Hunter,Carson McCullers,Fiction,2000.0
Once a Wolf,Stephen R. Swinburne;Jim Brandenburg,Juvenile Nonfiction,2001.0
Stern Men,Elizabeth Gilbert,Fiction,2001.0
Colter,Rick Bass,Biography & Autobiography,2001.0
Chimera,John Barth,Fiction,2001.0
Henry Adams and the Making of America,Garry Wills;Pulitzer Prize-Winning Journalist and Historian Garry Wills,Biography & Autobiography,2005.0
Nixon Agonistes,Garry Wills,Biography & Autobiography,2002.0
The Lord of the Rings,J. R. R. Tolkien,Fiction,2001.0
Hear the Wind Blow,Mary Downing Hahn,Juvenile Fiction,2003.0
Midnight is a Place,Joan Aiken,Juvenile Fiction,2002.0
Silent Spring,Rachel Carson,Nature,2002.0
The Best American Sports Writing 2003,Glenn Stout;Buzz Bissinger,Sports & Recreation,2003.0
Two of Us,Peter Smith,Biography & Autobiography,2004.0
Queen of Scots,John Alexander Guy,History,2004.0
Inventing America,Garry Wills,History,2002.0
The Lord of the Rings,Jude Fisher,Fiction,2002.0
The Lord of the Rings,Brian Sibley,Performing Arts,2002.0
"The Hobbit, Or, There and Back Again",John Ronald Reuel Tolkien,Juvenile Fiction,2001.0
The Lord of the Rings,John Ronald Reuel Tolkien,Fiction,2002.0
The Best American Mystery Stories 2004,Nelson DeMille;Otto Penzler,Fiction,2004.0
Fergus and the Night-Demon,Jim Murphy,Juvenile Fiction,2006.0
The Fellowship of the Ring,J. R. R. Tolkien,Fiction,2003.0
The Hermit's Story,Rick Bass,Fiction,2003.0
The Lord of the Rings,Chris Smith,Literary Criticism,2003.0
JRR Tolkien Companion & Guide,Christina Scull;Wayne G. Hammond,Literary Criticism,2006.0
The Maps of Tolkien's Middle-earth,Brian Sibley,Fiction,2003.0
Understanding the Lord of the Rings,Neil D. Isaacs;Rose A. Zimbardo,Literary Criticism,2005.0
Dunk,David Lubar,Juvenile Fiction,2004.0
The Bake Shop Ghost,Jacqueline K. Ogburn;Marjorie Priceman,Juvenile Fiction,2005.0
Reefer Madness,Eric Schlosser,Business & Economics,2004.0
The Last Shot,Darcy Frey,Sports & Recreation,2004.0
Dark Star Safari,Paul Theroux,Travel,2004.0
The Best American Sports Writing 2006,Glenn Stout;Michael Lewis,Sports & Recreation,2006.0
"Since 1500, Chapters 15-30",Richard W. Bulliet,Science,2005.0
Trip to the North Pole,Ellen Weiss;Robert Zemeckis;William Broyles;Chris Van Allsburg,Fiction,2004.0
Fun Home,Alison Bechdel,Biography & Autobiography,2006.0
"Natural Health, Natural Medicine",Andrew Weil,Health & Fitness,2004.0
The Namesake,Jhumpa Lahiri,Fiction,2004.0
Entre Amis,Michael Oates;Larbi Oukada,Foreign Language Study,2005.0
The Lord of the Rings Complete Visual Companion,Jude Fisher,Fiction,2004.0
The Heart is a Lonely Hunter,Carson McCullers,Fiction,2000.0
Firefighters in the Dark,Dashka Slater;Nicoletta Ceccoli,Juvenile Fiction,2006.0
Tolkien And The Great War,John Garth,Biography & Autobiography,2005.0
The Two Towers,John Ronald Reuel Tolkien,Fiction,2004.0
The Lord of the Rings: The return of the king,John Ronald Reuel Tolkien,Fantasy fiction,1967.0
The Best American Travel Writing 2006,Tim Cahill;Jason Wilson,Travel,2006.0
The Best American Spiritual Writing 2006,Philip Zaleski,Literary Collections,2006.0
The Polar Express,Chris Van Allsburg,Juvenile Fiction,2005.0
Mcdougal Littell Science,James Trefil;Houghton Mifflin Company;Rita Ann Calvo;Kenneth Cutler,Juvenile Nonfiction,2005.0
Bury the Chains,Adam Hochschild,History,2006.0
The Ancestor's Tale,Richard Dawkins;Yan Wong,Science,2005.0
The Lord of the Rings Sketchbook,Alan Lee,Art,2005.0
Gossamer,Lois Lowry,Juvenile Fiction,2006.0
In the Lake of the Woods,Tim O'Brien,Fiction,2006.0
Chew on this,Eric Schlosser;Charles Wilson,Juvenile Nonfiction,2006.0
The Diezmo,Rick Bass,Fiction,2006.0
Three Nights in August,H. G. Bissinger;Buzz Bissinger,Sports & Recreation,2006.0
Extremely Loud and Incredibly Close,Jonathan Safran Foer,Fiction,2006.0
The Hungry Tide,Amitav Ghosh,Fiction,2006.0
King Leopold's Ghost,Adam Hochschild,History,2006.0
The Chosen,Jerome Karabel,Education,2006.0
Children of Húrin,John Ronald Reuel Tolkien,Fiction,2007.0
The Ideology of the Aesthetic,Terry Eagleton,Literary Criticism,1991.0
On Certainty,Ludwig Wittgenstein,Philosophy,1991.0
Western Philosophy,John G. Cottingham,Philosophy,1996.0
Liberals and Communitarians,Stephen Mulhall;Adam Swift,Political Science,1996.0
Philosophical Investigations,Ludwig Wittgenstein,Philosophy,1991.0
Michael W. Smith,Michael W. Smith,Music,2002.0
"The Mystery of the Ancient Pyramid (Cairo, Egypt)",Carole Marsh,Juvenile Fiction,2006.0
The Gospel According to Tolkien,Ralph C. Wood,Literary Criticism,2003.0
That Godless Court?,Ronald Bruce Flowers,Religion,2005.0
Luther and Erasmus,Ernest Gordon Rupp;Philip Saville Watson,Religion,1969.0
The New Spirit,Havelock Ellis,,1970.0
Self-made Man,Norah Vincent,Social Science,2006.0
Swapping Lives,Jane Green,Fiction,2005.0
The Roald Dahl Treasury,Roald Dahl,Juvenile Fiction,2003.0
Mayflower,Nathaniel Philbrick,History,2006.0
Special Topics in Calamity Physics,Marisha Pessl,Fiction,2006.0
Helen of Troy,Margaret George,Fiction,2006.0
Dust,Martha Grimes,Fiction,2007.0
The Mistress's Daughter,A. M. Homes,Biography & Autobiography,2007.0
Vinyl Cafe Diaries,Stuart McLean,Canada,2003.0
Death of a Salesman,Arthur Miller,Fiction,1967.0
Spycatcher,Peter Wright,Espionage,1987.0
The Adventures of Pippi Longstocking,Astrid Lindgren;Michael Chesworth,Juvenile Fiction,1997.0
Haroun and the Sea of Stories,Salman Rushdie,Fiction,1999.0
Matthew Flinders' Cat,Bryce Courtenay,Alcoholics,2002.0
Artemis Fowl,Eoin Colfer,Children's stories,2003.0
In the Shadow of No Towers,Art Spiegelman,Graphic novels,2004.0
Echo Platoon,Richard Marcinko;John Weisman,Fiction,2001.0
Pieces,Stephen Chbosky,Fiction,2000.0
The Law of Enclosures,Dale Peck,Fiction,1997.0
You Belong To Me,Mary Higgins Clark,Fiction,1999.0
Runaways,V.C. Andrews,Fiction,1998.0
Private Parts,Howard Stern;John D. Simons,Biography & Autobiography,1997.0
My Gal Sunday,Mary Higgins Clark,Fiction,2003.0
The Millionaire Next Door,Thomas J. Stanley;William D. Danko,Biography & Autobiography,1998.0
The Tenth Man,Graham Greene,Fiction,1998.0
The Gun Seller,Hugh Laurie,Fiction,1998.0
She's Come Undone,Wally Lamb,Fiction,1998.0
Morgan's Run,Colleen McCullough,Fiction,2002.0
The October Horse,Colleen McCullough,Fiction,2003.0
Bag of Bones,Stephen King,Fiction,1999.0
Wither,J G Passarella,Fiction,2000.0
The Last Dance,Ed McBain,Fiction,2000.0
The Empty Chair,Jeffery Deaver,Fiction,2001.0
Clive Cussler and Dirk Pitt Revealed,Clive Cussler;Craig Dirgo,Fiction,1998.0
All Through the Night,Mary Higgins Clark,Fiction,1999.0
The Fuck Up,Arthur Nersesian,Fiction,1999.0
How to Stop Worrying and Start Living,Dale Carnegie,Psychology,2004.0
Present Tense,L. A. Graf,Fiction,2002.0
Carrie,Stephen King,Fiction,2002.0
Salem's Lot,Stephen King,Fiction,1999.0
Ice,V. C. Andrews,Fiction,2001.0
The Living Blood,Tananarive Due,Fiction,2002.0
Diablo: Legacy of Blood,Richard A. Knaak,Fiction,2001.0
The Girl Who Loved Tom Gordon,Stephen King,Fiction,1999.0
Venice: Lion City,Garry Wills,History,2002.0
Uncle Shelby'S Abz Book,Shel Silverstein,Education,1985.0
Confessions of an Actor,Laurence Oliver,Performing Arts,1982.0
"Soldier, general of the army, president-elect, 1890-1952",Stephen E. Ambrose,Biography & Autobiography,1985.0
The Bluest Eye,Toni Morrison,African Americans,1972.0
Mornings on Horseback,David McCullough,Biography & Autobiography,1982.0
Sweet and Low,Emma Lathen,Fiction,1982.0
The Canterbury Tales of Geoffrey Chaucer,"Simon & Schuster, Limited",Poetry,2004.0
Guilty as Charged,Scott Turow,Fiction,1996.0
The Night Awakens,Mary Higgins Clark,Fiction,2000.0
The Leader In You,Dale Carnegie,Self-Help,1995.0
Sharp Edges,Jayne Ann Krentz,Fiction,1998.0
Harvest,Tess Gerritsen,Fiction,1997.0
Life Support,Tess Gerritsen,Fiction,1998.0
Alien Stars,"C. J. Cherryh;Haldeman, Joe W;Mitchell, Elizabeth;Zahn, Timothy",Fiction,1985.0
Orchid,Jayne Castle,Fiction,1998.0
The Man Who Sold The Moon,Robert A. Heinlein,Fiction,2000.0
Teach Your Child to Read in 100 Easy Lessons,Siegfried Engelmann;Phyllis Haddox;Elaine Bruner,Education,1986.0
Field Guide to Home Buying in America,Stephen M. Pollan;Mark Levine,Business & Economics,1988.0
Wind Child,Nancy Harding,Fiction,1990.0
Anne Frank Remembered,Miep Gies;Alison Leslie Gold,History,1988.0
Ghost Story,Peter Straub,Fiction,1989.0
Blue World,Robert R. McCammon,Fiction,1990.0
Cyclops,Clive Cussler,Fiction,1989.0
The Seven Habits of Highly Effective People,Stephen R. Covey,Business & Economics,1990.0
A Cast of Corbies,Josepha Sherman;Mercedes Lackey,Fiction,1994.0
Shakespeare's Sonnets,Helen Hunt;William Shakespeare,Drama,2004.0
The Color Purple,Alice Walker,Fiction,1985.0
Night of the Fox,Jack Higgins,Fiction,1991.0
Wolf's Hour,Robert McCammon,Fiction,1990.0
Journey To Ixtlan,Carlos Castaneda,"Body, Mind & Spirit",1991.0
Second Ring of Power,Carlos Castaneda,Fiction,1991.0
Power of Silence,Carlos Castaneda,Fiction,1991.0
Fire from Within,Carlos Castaneda,"Body, Mind & Spirit",1984.0
Tales of Power,Carlos Castaneda,Fiction,1992.0
STINGER,Robert McCammon,Fiction,1988.0
The Story of Philosophy,Will Durant,Biography & Autobiography,1991.0
Swan Song,Robert McCammon,Fiction,1987.0
Long Dark Tea-Time of the Soul,Douglas Adams,Fiction,1990.0
Boy's Life,Robert McCammon,Fiction,1992.0
Joy Within,Joan Goldstein;Manuela Soares,"Body, Mind & Spirit",1990.0
Mystery Walk,Robert R. McCammon,Fiction,1992.0
Justine,Lawrence Durrell,,1969.0
The Hidden Persuaders,Vance Packard,Advertising,1958.0
Best Stories,Hugh Garner,,1971.0
Principle Centered Leadership,Stephen R. Covey,Business & Economics,1992.0
In the Name of Love,Ann Rule,Literary Criticism,1998.0
Star Trek: The Next Generation: Nightshade,Laurell K. Hamilton,Fiction,1992.0
Scar Lover,Harry Crews,Fiction,1993.0
End zone,Don DeLillo,Fiction,1973.0
The Good Earth,Pearl Sydenstricker Buck,China,1958.0
Star Trek,Alan Dean Foster,,1995.0
Lincoln at Gettysburg,Garry Wills,History,1992.0
Forever After,Roger Zelazny,Fiction,1995.0
The Ship Avenged,S. M. Stirling,Fiction,1997.0
The Free Bards,Lackey,Fiction,1997.0
Berserkers,Fred Saberhagen,Fiction,1998.0
What Jane Austen Ate and Charles Dickens Knew,Daniel Pool,Education,1994.0
Daily Reflections for Highly Effective People,Stephen R. Covey,Business & Economics,1994.0
Seamus Heaney,Helen Hennessy Vendler,Literary Criticism,2000.0
American Tragedy,David E. Kaiser,History,2000.0
This Craft of Verse,Jorge Luis Borges;Calin Andrei Mihailescu,Literary Criticism,2002.0
The Gardens of Emily Dickinson,Judith FARR;Louise Carter,Architecture,2005.0
Rebecca's Revival,Jon F Sensbach,Biography & Autobiography,2005.0
The Writer of Modern Life,Walter Benjamin,Literary Criticism,2006.0
Iron Kingdom,"Christopher M. Clark;University Christopher Clark, MD",History,2006.0
Ancilla to the Pre-Socratic Philosophers,Mary Fitt;Kathleen Freeman,Philosophy,1983.0
Doubling the Point,Professor of General Literature J M Coetzee;J. M. Coetzee,Literary Criticism,1992.0
Ethics and the Limits of Philosophy,Bernard Williams,Philosophy,1985.0
The Ethics of Authenticity,Charles Taylor,Philosophy,1992.0
The Fate of Reason,Frederick C. Beiser,Philosophy,1993.0
"New Worlds, Ancient Texts",Anthony Grafton;Nancy G. Siraisi;April Shelford,History,1992.0
The Art of Shakespeare's Sonnets,Helen Vendler,Literary Criticism,1999.0
Origins of the Modern Mind,Merlin Donald,Medical,1991.0
Playing in the Dark,Toni Morrison,Literary Criticism,1992.0
The Principles of Psychology,William James,Psychology,1981.0
The Roman Empire,Colin Michael Wells,History,1995.0
Sex and Reason,Richard A. POSNER,Law,1994.0
"Sor Juana, Or, The Traps of Faith",Octavio Paz,Literary Criticism,1988.0
Sources of the Self,Charles Taylor,Philosophy,1989.0
Summer for the Gods,,Law,1998.0
"Time's Arrow, Time's Cycle",Stephen Jay Gould,Science,1987.0
The Visible Hand,Alfred D. Chandler Jr.,Business & Economics,1977.0
Wittgenstein on Rules and Private Language,Saul A. Kripke,Philosophy,1982.0
"The World, the Text, and the Critic",Edward W. Said,Literary Criticism,1983.0
De officiis,Marcus Tullius Cicero;Walter Miller,Fiction,1975.0
Metamorphoses,Publius Ovidius Naso (Dichter),"Mythology, Classical",1984.0
Metamorphoses,Ovid,Science,1976.0
Plato in twelve volumes,Plato,Literary Criticism,1975.0
History of the Peloponnesian War,Thucydides,History,1976.0
Hiero,Xenophon,Electronic books,1925.0
Cicero in Twenty-eight Volumes,Marcus Tullius Cicero,"Consuls, Roman",1967.0
Epictetus,Epictetus,Philosophy,1967.0
"The Art of Love, and Other Poems",Ovid,Love poetry,1985.0
"Plato, with an English Translation",Plato,"Philosophy, Ancient",1914.0
Babrius and Phaedrus,Babrius;Phaedrus;Ben Edwin Perry,Biography & Autobiography,1965.0
Αλκηστισ,Euripides,Alcestis (Greek mythology),1994.0
Fragmenta,Plutarcus;Ευριπιδες,Literary Criticism,1999.0
Hesiod,Hesiodtus,Agriculture,2006.0
Never Let Me Go,Kazuo Ishiguro,Boarding school-fiction,2006.0
Gift from the Sea,,Biography & Autobiography,1991.0
Doctor Faustus,Thomas Mann,Fiction,1992.0
Toni Morrison,Toni Morrison,African Americans,1994.0
The Aeneid,Virgil,Poetry,1992.0
If on a Winter's Night a Traveler,Italo Calvino;William Weaver,Fiction,1993.0
The Stranger,Albert Camus;Matthew Ward,Fiction,1993.0
Crime and Punishment,Fyodor Dostoyevsky,Fiction,1993.0
Selected Short Stories of William Faulkner,William Faulkner,Fiction,1993.0
The Complete Collected Poems of Maya Angelou,Maya Angelou,Poetry,1994.0
The Sword of Honour Trilogy,Evelyn Waugh,Fiction,1994.0
Gargantua and Pantagruel,François Rabelais,Fiction,1994.0
In the Kitchen with Rosie,Rosie Daley,Cooking,1994.0
Rabbit Angstrom,John Updike,Fiction,1995.0
A fine balance,Rohinton Mistry,Fiction,1996.0
The Sibley Field Guide to Birds of Western North America,,Nature,2003.0
Swann's Way,Marcel Proust,Fiction,1992.0
The Sound and the Fury,William Faulkner,Fiction,1992.0
Stars in Their Courses,Shelby Foote,History,1994.0
The Poetry and Short Stories of Dorothy Parker,Dorothy Parker,Poetry,1994.0
Fear and Loathing in Las Vegas and Other American Stories,Hunter S. Thompson,Biography & Autobiography,1998.0
"Blood Meridian, Or, The Evening Redness in the West",Cormac McCarthy,Fiction,2001.0
"In Search of Lost Time, Volume IV",Marcel Proust,Fiction,2000.0
The Red and the Black,Stendhal,Fiction,2003.0
The Killer Angels,Michael Shaara,Fiction,2004.0
The Collected Autobiographies of Maya Angelou,Maya Angelou,Biography & Autobiography,2004.0
The Murders in the Rue Morgue,Edgar Allan Poe,Fiction,2006.0
Darkness Visible,William Styron,Biography & Autobiography,2007.0
The Fall,Albert Camus,Fiction,1956.0
Hiroshima,John Hersey,History,1989.0
Mama Day,Gloria Naylor,Fiction,1989.0
Where I'm Calling from,Raymond Carver,Fiction,1989.0
Running Dog,Don DeLillo,Fiction,1989.0
The Names,Don DeLillo,Fiction,1989.0
What We Talk about when We Talk about Love,Raymond Carver,Fiction,1989.0
Gideon's Trumpet,Anthony Lewis,History,1989.0
Invisible Man,Ralph Ellison,African American men,1990.0
Lolita,Vladimir Vladimirovich Nabokov,Fiction,1997.0
Cathedral,Raymond Carver,Fiction,1989.0
The History of Sexuality,Michel Foucault,Sex customs,1990.0
"I, Claudius",Robert Graves,Fiction,1989.0
"No Exit, and Three Other Plays",Jean-Paul Sartre,Drama,1989.0
"Ada, Or, Ardor, a Family Chronicle",Vladimir Vladimirovich Nabokov,Fiction,1990.0
Aké,Wole Soyinka,Biography & Autobiography,1981.0
Strong Opinions,Vladimir Vladimirovich Nabokov,Literary Collections,1990.0
Mary,Владимир Владимирович Набоков,Fiction,1989.0
The Complete Monty Python's Flying Circus,Graham Chapman;Monty Python (Comedy troupe);Terry Gilliam;Eric Idle;Terry Jones,Humor,1989.0
The Defense,Vladimir Vladimirovich Nabokov;Michael Scammell,Fiction,1990.0
The Eye,Владимир Владимирович Набоков,Fiction,1990.0
The Annotated Lolita,Владимир Владимирович Набоков;Vladimir Vladimirovich Nabokov,Fiction,1991.0
Maus II,Art Spiegelman,Biography & Autobiography,1991.0
The Best of Roald Dahl,Roald Dahl,Fiction,1990.0
The Stories of Vladimir Nabokov,Vladimir Vladimirovich Nabokov,Fiction,1995.0
Hit Men,Fredric Dannen,Business & Economics,1991.0
A Year in Provence,Peter Mayle,Provence (France),1991.0
The Origin of Satan,Elaine Pagels,Religion,1996.0
A History of the World in 10 1/2 Chapters,Julian Barnes,Fiction,1990.0
"Go Down, Moses",William Faulkner,Fiction,1942.0
Light in August,William Faulkner,Fiction,1985.0
Chilly Scenes of Winter,Ann Beattie,Fiction,1991.0
Shoot the Piano Player,David Goodis,Fiction,1990.0
The Beggar Maid,Alice Munro,Fiction,1991.0
A Midwife's Tale,Laurel Ulrich,Biography & Autobiography,1991.0
The Woman in the Dunes,Kōbō Abe,Fiction,1964.0
The Rebel,Albert Camus,Philosophy,1991.0
The Art of Fiction,John Gardner,Language Arts & Disciplines,1991.0
Success,Martin Amis,Fiction,1991.0
Dead Babies,Martin Amis,Fiction,1975.0
Crime and Punishment,Fyodor Dostoyevsky,Fiction,1993.0
Hype and Glory,William Goldman,Performing Arts,1991.0
The Heidi Chronicles and Other Plays,Wendy Wasserstein,Drama,1991.0
Dispatches,Michael Herr,History,1991.0
Touching the Rock,John M. Hull,Biography & Autobiography,1992.0
American Psycho,Bret Easton Ellis,Fiction,1991.0
The Unconsoled,Kazuo Ishiguro,Fiction,1996.0
"Last Tales: The cardinal's first tale ; The cloak ; Night walk ; Of hidden thoughts and of heaven ; Tales of two old gentlemen ; The cardinal's third tale ; The blank page ; New Gothic Tales: The cyratids, an unfinished tale ; Echoes ; New Winter's tales: A country tale ; Copenhagen season ; Converse at night in Copenhagen",Karen Blixen,,1975.0
