title,authors,categories,published_year
Cryptonomicon,Neal Stephenson,Fiction,2002.0
Falling Up,Shel Silverstein,Juvenile Nonfiction,2002.0
Anansi Boys,Neil Gaiman,Fiction,2006.0
Fragile Things,Neil Gaiman,Fiction,2006.0
What Went Wrong?,Bernard Lewis,History,2003.0
Letters from the Earth,Mark Twain,Literary Criticism,2004.0
Savannah Blues,Mary Kay Andrews,Fiction,2003.0
The Whipping Boy,Sid Fleischman,Juvenile Fiction,2003.0
The Innovator's Dilemma,Clayton M. Christensen,Business & Economics,2003.0
A Nose for Murder,Lee Charles Kelley,Fiction,2003.0
Happiness,Will Ferguson,Fiction,2003.0
Size 12 Is Not Fat,Meg Cabot,Fiction,2006.0
Warrior of the Light,Paulo Coelho,Fiction,2004.0
The Devil and Miss Prym,Paulo Coelho,Fiction,2006.0
The Big Bing,Stanley Bing,Business & Economics,2006.0
One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,2003.0
Walt Whitman,Justin Kaplan,Biography & Autobiography,2003.0
How to Make Love Like a Porn Star,Jenna Jameson;Neil Strauss,Biography & Autobiography,2004.0
The Outsider,Richard Wright,Fiction,1953.0
1421,Gavin Menzies,History,2004.0
The Andromeda Strain,Michael Crichton,Fiction,2003.0
Congo,Michael Crichton,Fiction,2003.0
Johnny and the Dead,Terry Pratchett,Juvenile Fiction,2006.0
Amelia Bedelia 40th Anniversary Collection,Peggy Parish,Juvenile Fiction,2003.0
The Girls of Lighthouse Lane #3,Thomas Kinkade;Erika Tamar,Juvenile Fiction,2005.0
The Bradbury Chronicles,Sam Weller,Biography & Autobiography,2006.0
Three Rotten Eggs,Gregory Maguire,Juvenile Fiction,2005.0
The Wicked Day,Mary Stewart,Fiction,2003.0
The Game,Neil Strauss,Biography & Autobiography,2005.0
"The Lion, the Witch and the Wardrobe (picture book edition)",C. S. Lewis,Juvenile Fiction,2004.0
Gold,Isaac Asimov,Fiction,2003.0
The Kindness of Strangers,Katrina Kittle,Fiction,2007.0
Built to Last,Jim Collins;Jerry I. Porras,Business & Economics,2004.0
Fluke,Christopher Moore,Fiction,2004.0
Lord of Light,Roger Zelazny,Fiction,2004.0
The Perennial Philosophy,Aldous Huxley,Philosophy,2004.0
A Crack in the Edge of the World,Simon Winchester,History,2006.0
Dead Witch Walking,Kim Harrison,Fiction,2004.0
"The Good, the Bad, and the Undead",Kim Harrison,Fiction,2005.0
"Men Are from Mars, Women Are from Venus",John Gray,Family & Relationships,2004.0
Sabriel (adult),Garth Nix,Fiction,2004.0
Slouching Toward Nirvana,Charles Bukowski,Poetry,2006.0
Bad Childhood---Good Life,Laura Schlessinger,Self-Help,2006.0
Cat Cross Their Graves,Shirley Rousseau Murphy,Fiction,2005.0
Cat Breaking Free,Shirley Rousseau Murphy,Fiction,2006.0
Slider,Patrick Robinson,Sports & Recreation,2004.0
The Black Dahlia Files,Don Wolfe,True Crime,2006.0
Metro Girl,Janet Evanovich,Fiction,2005.0
Motor Mouth,Janet Evanovich,Fiction,2006.0
Mystic River,Dennis Lehane,Fiction,2003.0
